variant,hotel_category,rule,revpar_vs_obs_pct,real_P_vol_pct
matched_gba,stars_1_2,baseline,-3.93,11.77
matched_gba,stars_1_2,A_full_cpi,-1.44,4.92
matched_gba,stars_1_2,C_partial,5.01,28.0
matched_gba,stars_1_2,R_infl_threshold,-2.2,4.68
matched_gba,stars_1_2,R_realprice_floor,-2.06,4.78
matched_gba,stars_1_2,D_infl_plus_occ,-2.33,4.51
matched_gba,stars_3,baseline,-1.53,18.67
matched_gba,stars_3,A_full_cpi,4.16,5.67
matched_gba,stars_3,C_partial,12.92,28.0
matched_gba,stars_3,R_infl_threshold,4.22,5.79
matched_gba,stars_3,R_realprice_floor,4.34,5.87
matched_gba,stars_3,D_infl_plus_occ,4.24,6.06
matched_gba,stars_4,baseline,3.44,13.33
matched_gba,stars_4,A_full_cpi,7.13,4.87
matched_gba,stars_4,C_partial,16.4,28.0
matched_gba,stars_4,R_infl_threshold,7.47,5.03
matched_gba,stars_4,R_realprice_floor,7.44,4.71
matched_gba,stars_4,D_infl_plus_occ,7.46,4.69
matched_gba,stars_5,baseline,9.72,20.37
matched_gba,stars_5,A_full_cpi,12.94,4.95
matched_gba,stars_5,C_partial,26.09,28.0
matched_gba,stars_5,R_infl_threshold,13.76,5.21
matched_gba,stars_5,R_realprice_floor,13.7,4.79
matched_gba,stars_5,D_infl_plus_occ,13.37,5.5
matched_gba,apart,baseline,-5.59,15.26
matched_gba,apart,A_full_cpi,-2.66,5.31
matched_gba,apart,C_partial,0.76,28.0
matched_gba,apart,R_infl_threshold,-3.37,5.25
matched_gba,apart,R_realprice_floor,-3.28,5.3
matched_gba,apart,D_infl_plus_occ,-3.44,5.55
matched_gba,boutique,baseline,3.58,13.4
matched_gba,boutique,A_full_cpi,7.79,5.65
matched_gba,boutique,C_partial,20.32,28.0
matched_gba,boutique,R_infl_threshold,7.78,5.76
matched_gba,boutique,R_realprice_floor,7.89,5.8
matched_gba,boutique,D_infl_plus_occ,7.6,5.91
raw_levels_gba,stars_1_2,baseline,0.0,12.47
raw_levels_gba,stars_1_2,A_full_cpi,-5.27,4.65
raw_levels_gba,stars_1_2,C_partial,59.52,50.88
raw_levels_gba,stars_1_2,R_infl_threshold,-6.3,4.4
raw_levels_gba,stars_1_2,R_realprice_floor,-5.92,4.51
raw_levels_gba,stars_1_2,D_infl_plus_occ,-7.29,4.19
raw_levels_gba,stars_3,baseline,0.0,19.08
raw_levels_gba,stars_3,A_full_cpi,0.31,5.38
raw_levels_gba,stars_3,C_partial,82.93,55.77
raw_levels_gba,stars_3,R_infl_threshold,0.23,5.48
raw_levels_gba,stars_3,R_realprice_floor,0.67,5.58
raw_levels_gba,stars_3,D_infl_plus_occ,-0.67,5.65
raw_levels_gba,stars_4,baseline,0.0,12.73
raw_levels_gba,stars_4,A_full_cpi,2.39,4.58
raw_levels_gba,stars_4,C_partial,59.87,42.99
raw_levels_gba,stars_4,R_infl_threshold,2.06,4.69
raw_levels_gba,stars_4,R_realprice_floor,2.57,4.42
raw_levels_gba,stars_4,D_infl_plus_occ,1.22,4.33
raw_levels_gba,stars_5,baseline,0.0,18.38
raw_levels_gba,stars_5,A_full_cpi,6.85,4.66
raw_levels_gba,stars_5,C_partial,82.53,42.23
raw_levels_gba,stars_5,R_infl_threshold,6.75,4.85
raw_levels_gba,stars_5,R_realprice_floor,7.43,4.5
raw_levels_gba,stars_5,D_infl_plus_occ,6.31,5.12
raw_levels_gba,apart,baseline,0.0,17.62
raw_levels_gba,apart,A_full_cpi,-4.77,5.03
raw_levels_gba,apart,C_partial,30.83,53.79
raw_levels_gba,apart,R_infl_threshold,-5.58,4.95
raw_levels_gba,apart,R_realprice_floor,-5.34,5.03
raw_levels_gba,apart,D_infl_plus_occ,-5.84,5.21
raw_levels_gba,boutique,baseline,0.0,12.88
raw_levels_gba,boutique,A_full_cpi,2.69,5.36
raw_levels_gba,boutique,C_partial,123.33,55.66
raw_levels_gba,boutique,R_infl_threshold,2.49,5.45
raw_levels_gba,boutique,R_realprice_floor,3.07,5.52
raw_levels_gba,boutique,D_infl_plus_occ,1.5,5.54
