policy,beta,n_reprice,mean_abs_real_dev_pct,real_P_cv_pct,mean_occ,revpar_vs_obs_pct,hi_season_revpar_vs_obs_pct
P2 tau=6%,0.0,13.8,5.9,3.7,57.6,0.52,
P4 tilt<=8% (val pick),0.0,13.8,4.9,4.2,57.6,2.57,0.28
P4 tilt<=5% (fixed),0.0,13.8,5.0,3.8,57.6,1.8,-0.82
P3 occ tilt 8%,0.0,13.8,8.2,4.9,57.6,-1.51,
observed,0.0,25.2,11.2,13.2,57.6,0.0,
P2 tau=6%,-0.25,13.8,5.9,3.7,57.7,0.2,
P4 tilt<=8% (val pick),-0.25,13.8,4.9,4.2,57.5,1.71,-0.24
P4 tilt<=5% (fixed),-0.25,13.8,5.0,3.8,57.6,1.14,-1.04
P3 occ tilt 8%,-0.25,13.8,8.2,4.9,58.1,-1.35,
observed,-0.25,25.2,11.2,13.2,57.6,0.0,
P2 tau=6%,-0.5,13.8,5.9,3.7,58.0,0.0,
P4 tilt<=8% (val pick),-0.5,13.8,4.9,4.2,57.4,0.99,-0.46
P4 tilt<=5% (fixed),-0.5,13.8,5.0,3.8,57.6,0.62,-0.98
P3 occ tilt 8%,-0.5,13.8,8.2,4.9,58.6,-1.04,
observed,-0.5,25.2,11.2,13.2,57.6,0.0,
P2 tau=6%,-1.0,13.8,5.9,3.7,58.8,0.0,
P4 tilt<=8% (val pick),-1.0,13.8,4.9,4.2,57.7,0.0,-0.0
P4 tilt<=5% (fixed),-1.0,13.8,5.0,3.8,58.1,0.0,-0.0
P3 occ tilt 8%,-1.0,13.8,8.2,4.9,60.1,0.0,
observed,-1.0,25.2,11.2,13.2,57.6,0.0,
