strategy,hotel_category,label,beta,se,t,n,fstage_F
A_yoy_diff,stars_1_2,1-2 star,1.427,0.137,10.4,65,
A_yoy_diff,stars_3,3 star,0.382,0.092,4.15,65,
A_yoy_diff,stars_4,4 star,0.327,0.143,2.28,65,
A_yoy_diff,stars_5,5 star,0.027,0.053,0.52,65,
A_yoy_diff,apart,Apart-hotel,0.142,0.073,1.94,65,
A_yoy_diff,boutique,Boutique,0.195,0.157,1.24,65,
B_relative_price_FE,POOLED(core),4 star tiers,0.069,0.061,1.13,308,
C_2sls_cost_iv,stars_1_2,1-2 star,0.899,0.56,1.61,75,6.8
C_2sls_cost_iv,stars_3,3 star,-0.868,0.847,-1.03,75,2.9
C_2sls_cost_iv,stars_4,4 star,-0.262,0.097,-2.7,75,140.0
C_2sls_cost_iv,stars_5,5 star,-0.074,0.078,-0.95,75,106.5
C_2sls_cost_iv,apart,Apart-hotel,-0.601,0.233,-2.59,75,20.1
C_2sls_cost_iv,boutique,Boutique,0.018,0.074,0.24,75,206.7
D_predetermined_lags,stars_1_2,1-2 star,0.651,0.267,2.44,73,
D_predetermined_lags,stars_3,3 star,0.242,0.125,1.94,73,
D_predetermined_lags,stars_4,4 star,-0.045,0.074,-0.61,73,
D_predetermined_lags,stars_5,5 star,-0.098,0.06,-1.62,73,
D_predetermined_lags,apart,Apart-hotel,0.079,0.144,0.55,73,
D_predetermined_lags,boutique,Boutique,0.03,0.058,0.51,73,
