hotel_category,label,sample,n,beta_contemp,se_contemp,t_contemp,r2,beta_cum_0_3
apart,Apart-hotel,covid_excl,76,0.893,0.146,6.13,0.108,0.771
apart,Apart-hotel,ex_extreme,64,1.925,0.496,3.88,0.063,1.544
apart,Apart-hotel,incl_2022,87,0.991,0.224,4.43,0.102,0.859
boutique,Boutique,covid_excl,76,1.159,0.199,5.81,0.304,0.856
boutique,Boutique,ex_extreme,64,1.103,0.743,1.48,0.052,0.417
boutique,Boutique,incl_2022,87,1.184,0.182,6.51,0.3,0.886
stars_1_2,1-2 star,covid_excl,75,0.854,0.125,6.85,0.183,0.784
stars_1_2,1-2 star,ex_extreme,63,0.335,0.678,0.49,0.004,0.801
stars_1_2,1-2 star,incl_2022,75,0.854,0.125,6.85,0.183,0.784
stars_3,3 star,covid_excl,76,0.747,0.138,5.41,0.142,0.594
stars_3,3 star,ex_extreme,64,1.554,0.459,3.38,0.076,1.474
stars_3,3 star,incl_2022,87,0.841,0.184,4.57,0.146,0.656
stars_4,4 star,covid_excl,76,1.085,0.16,6.77,0.332,0.8
stars_4,4 star,ex_extreme,64,1.807,0.499,3.62,0.157,0.954
stars_4,4 star,incl_2022,87,1.132,0.179,6.34,0.306,0.832
stars_5,5 star,covid_excl,76,1.251,0.278,4.51,0.121,0.881
stars_5,5 star,ex_extreme,64,3.202,0.712,4.5,0.124,2.021
stars_5,5 star,incl_2022,87,1.248,0.27,4.62,0.115,0.924
