hotel_category,label,spec,beta,se,t,n
stars_1_2,1-2 star,loglog,0.846,0.095,8.87,62
stars_1_2,1-2 star,loglog_lag,0.605,0.187,3.24,58
stars_1_2,1-2 star,levels_pp,0.075,0.009,8.33,62
stars_1_2,1-2 star,logit,1.744,0.217,8.05,62
stars_3,3 star,loglog,0.101,0.179,0.57,74
stars_3,3 star,loglog_lag,0.275,0.178,1.54,71
stars_3,3 star,levels_pp,0.01,0.014,0.74,74
stars_3,3 star,logit,0.302,0.477,0.63,74
stars_4,4 star,loglog,0.296,0.143,2.07,74
stars_4,4 star,loglog_lag,0.621,0.172,3.61,71
stars_4,4 star,levels_pp,0.013,0.007,1.95,74
stars_4,4 star,logit,0.69,0.334,2.06,74
stars_5,5 star,loglog,0.143,0.142,1.0,74
stars_5,5 star,loglog_lag,0.235,0.204,1.15,71
stars_5,5 star,levels_pp,0.002,0.002,0.84,74
stars_5,5 star,logit,0.304,0.318,0.96,74
apart,Apart-hotel,loglog,0.28,0.157,1.79,74
apart,Apart-hotel,loglog_lag,0.088,0.151,0.59,71
apart,Apart-hotel,levels_pp,0.014,0.007,1.96,74
apart,Apart-hotel,logit,0.614,0.39,1.57,74
boutique,Boutique,loglog,0.116,0.132,0.88,74
boutique,Boutique,loglog_lag,0.386,0.185,2.09,71
boutique,Boutique,levels_pp,0.003,0.004,0.84,74
boutique,Boutique,logit,0.286,0.362,0.79,74
