hotel_category,label,rule,beta,revpar_vs_obs_pct,real_P_vol_pct,n_price_changes,worst_erosion_pct
stars_1_2,1-2 star,baseline,-0.1,-5.02,11.77,37,-22.6
stars_1_2,1-2 star,A_full_cpi,-0.1,-1.67,4.92,36,-15.4
stars_1_2,1-2 star,C_partial,-0.1,7.26,28.0,37,-43.36
stars_1_2,1-2 star,R_infl_threshold,-0.1,-2.65,4.68,29,-15.02
stars_1_2,1-2 star,R_realprice_floor,-0.1,-2.47,4.78,33,-15.33
stars_1_2,1-2 star,D_infl_plus_occ,-0.1,-2.87,4.51,21,-11.25
stars_1_2,1-2 star,baseline,-0.5,-2.82,11.77,37,-22.6
stars_1_2,1-2 star,A_full_cpi,-0.5,-1.13,4.92,36,-15.4
stars_1_2,1-2 star,C_partial,-0.5,3.11,28.0,37,-43.36
stars_1_2,1-2 star,R_infl_threshold,-0.5,-1.67,4.68,29,-15.02
stars_1_2,1-2 star,R_realprice_floor,-0.5,-1.58,4.78,33,-15.33
stars_1_2,1-2 star,D_infl_plus_occ,-0.5,-1.74,4.51,21,-11.25
stars_1_2,1-2 star,baseline,-1.0,0.0,11.77,37,-22.6
stars_1_2,1-2 star,A_full_cpi,-1.0,0.0,4.92,36,-15.4
stars_1_2,1-2 star,C_partial,-1.0,0.0,28.0,37,-43.36
stars_1_2,1-2 star,R_infl_threshold,-1.0,0.0,4.68,29,-15.02
stars_1_2,1-2 star,R_realprice_floor,-1.0,0.0,4.78,33,-15.33
stars_1_2,1-2 star,D_infl_plus_occ,-1.0,0.0,4.51,21,-11.25
stars_3,3 star,baseline,-0.1,-1.96,18.67,37,-28.98
stars_3,3 star,A_full_cpi,-0.1,5.71,5.67,36,-15.64
stars_3,3 star,C_partial,-0.1,18.17,28.0,37,-43.36
stars_3,3 star,R_infl_threshold,-0.1,5.78,5.79,29,-15.47
stars_3,3 star,R_realprice_floor,-0.1,5.93,5.87,31,-15.87
stars_3,3 star,D_infl_plus_occ,-0.1,5.8,6.06,24,-13.36
stars_3,3 star,baseline,-0.5,-1.1,18.67,37,-28.98
stars_3,3 star,A_full_cpi,-0.5,2.76,5.67,36,-15.64
stars_3,3 star,C_partial,-0.5,8.38,28.0,37,-43.36
stars_3,3 star,R_infl_threshold,-0.5,2.82,5.79,29,-15.47
stars_3,3 star,R_realprice_floor,-0.5,2.9,5.87,31,-15.87
stars_3,3 star,D_infl_plus_occ,-0.5,2.84,6.06,24,-13.36
stars_3,3 star,baseline,-1.0,0.0,18.67,37,-28.98
stars_3,3 star,A_full_cpi,-1.0,0.0,5.67,36,-15.64
stars_3,3 star,C_partial,-1.0,0.0,28.0,37,-43.36
stars_3,3 star,R_infl_threshold,-1.0,0.0,5.79,29,-15.47
stars_3,3 star,R_realprice_floor,-1.0,0.0,5.87,31,-15.87
stars_3,3 star,D_infl_plus_occ,-1.0,0.0,6.06,24,-13.36
stars_4,4 star,baseline,-0.1,4.2,13.33,37,-17.41
stars_4,4 star,A_full_cpi,-0.1,8.92,4.87,36,-15.01
stars_4,4 star,C_partial,-0.1,21.05,28.0,37,-43.36
stars_4,4 star,R_infl_threshold,-0.1,9.33,5.03,29,-14.27
stars_4,4 star,R_realprice_floor,-0.1,9.29,4.71,34,-14.89
stars_4,4 star,D_infl_plus_occ,-0.1,9.3,4.69,24,-11.66
stars_4,4 star,baseline,-0.5,2.31,13.33,37,-17.41
stars_4,4 star,A_full_cpi,-0.5,4.61,4.87,36,-15.01
stars_4,4 star,C_partial,-0.5,10.19,28.0,37,-43.36
stars_4,4 star,R_infl_threshold,-0.5,4.84,5.03,29,-14.27
stars_4,4 star,R_realprice_floor,-0.5,4.82,4.71,34,-14.89
