policy,beta,n_reprice,real_dev_mean_pct,real_dev_min_pct,real_P_cv_pct,mean_occ,revpar_vs_obs_pct
P0_frozen,0.0,1,-53.5,-70.2,27.4,60.7,-53.9
P1_monthly_cpi,0.0,25,-4.4,-16.4,3.8,60.7,2.3
P2_tau5,0.0,13,-5.7,-16.4,3.6,60.7,1.0
P3_tau5_d5,0.0,13,-6.7,-16.4,4.3,60.7,-0.1
observed,0.0,25,-5.1,-17.3,11.3,60.7,0.0
P0_frozen,-0.25,1,-53.5,-70.2,27.4,73.3,-44.2
P1_monthly_cpi,-0.25,25,-4.4,-16.4,3.8,60.6,1.6
P2_tau5,-0.25,13,-5.7,-16.4,3.6,60.8,0.6
P3_tau5_d5,-0.25,13,-6.7,-16.4,4.3,61.0,-0.2
observed,-0.25,25,-5.1,-17.3,11.3,60.7,0.0
P0_frozen,-0.5,1,-53.5,-70.2,27.4,88.8,-32.4
P1_monthly_cpi,-0.5,25,-4.4,-16.4,3.8,60.6,1.0
P2_tau5,-0.5,13,-5.7,-16.4,3.6,61.0,0.3
P3_tau5_d5,-0.5,13,-6.7,-16.4,4.3,61.3,-0.2
observed,-0.5,25,-5.1,-17.3,11.3,60.7,0.0
P0_frozen,-1.0,1,-53.5,-70.2,27.4,131.4,0.0
P1_monthly_cpi,-1.0,25,-4.4,-16.4,3.8,60.8,0.0
P2_tau5,-1.0,13,-5.7,-16.4,3.6,61.6,0.0
P3_tau5_d5,-1.0,13,-6.7,-16.4,4.3,62.3,0.0
observed,-1.0,25,-5.1,-17.3,11.3,60.7,0.0
